initial_temp,final_temp,attempt,best_iter,best_cost
300,0.05,1,147464,76.0
300,0.05,2,5212,75.0
300,0.05,3,5360,81.5
300,0.05,4,12475,70.0
300,0.05,5,23676,83.0
300,0.05,6,232214,72.0
300,0.05,7,83283,53.0
300,0.05,8,379102,68.5
300,0.05,9,96836,84.5
300,0.05,10,111388,50.5
300,0.05,11,238257,81.0
300,0.05,12,58718,75.0
300,0.05,13,297284,71.0
300,0.05,14,168705,81.0
300,0.05,15,67010,87.0
300,0.05,16,171362,68.0
300,0.05,17,134254,96.5
300,0.05,18,35900,67.5
300,0.05,19,8883,92.0
300,0.05,20,388528,86.0
300,0.05,21,142608,81.5
300,0.05,22,92373,51.0
300,0.05,23,101753,77.0
300,0.05,24,64651,76.5
300,0.05,25,65139,81.5
300,0.05,26,230908,84.5
300,0.05,27,36726,61.0
300,0.05,28,10127,71.0
300,0.05,29,255764,78.0
300,0.05,30,13485,74.5
300,0.05,31,5872,76.5
300,0.05,32,9435,64.0
300,0.05,33,142499,56.5
300,0.05,34,339969,76.0
300,0.05,35,38451,83.5
300,0.05,36,106481,78.0
300,0.05,37,121980,56.5
300,0.05,38,191103,55.5
300,0.05,39,238071,88.5
300,0.05,40,390324,79.0
300,0.05,41,49445,78.0
300,0.05,42,170505,71.0
300,0.05,43,178742,68.5
300,0.05,44,162066,63.5
300,0.05,45,46216,87.5
300,0.05,46,329807,74.5
300,0.05,47,34250,83.5
300,0.05,48,133995,56.5
300,0.05,49,233811,64.5
300,0.05,50,122528,86.5
300,0.05,51,166626,74.0
300,0.05,52,147291,72.5
300,0.05,53,118163,72.5
300,0.05,54,3482,87.0
300,0.05,55,148811,80.5
300,0.05,56,67517,88.5
300,0.05,57,86287,65.0
300,0.05,58,126934,86.0
300,0.05,59,34407,62.5
300,0.05,60,21894,90.0
300,0.05,61,110858,74.0
300,0.05,62,10083,69.5
300,0.05,63,16443,57.5
300,0.05,64,130329,73.5
300,0.05,65,24100,57.5
300,0.05,66,70553,78.0
